CHANNEL,TYP,POSITION,ORT,ADRESSE,ROW
159,Impression FR10 Bar,LX 4a,Dimmerraum 2,7/58,2
160,Impression FR10 Bar,LX 4a,Dimmerraum 2,7/1,1
161,Impression FR10 Bar,LX 5,Dimmerraum 1,8/1,8
162,Impression FR10 Bar,LX 5,Dimmerraum 1,8/58,7
163,Impression FR10 Bar,LX 5,Dimmerraum 1,8/115,6
164,Impression FR10 Bar,LX 5,Dimmerraum 1,8/172,5
165,Impression FR10 Bar,LX 5,Dimmerraum 1,8/229,4
166,Impression FR10 Bar,LX 5,Dimmerraum 1,8/286,3
167,Impression FR10 Bar,LX 5,Dimmerraum 1,8/343,2
168,Impression FR10 Bar,LX 5,Dimmerraum 1,8/400,1
171,Impression FR10 Bar,LX 5,Dimmerraum 1,9/1,8
172,Impression FR10 Bar,LX 5,Dimmerraum 1,9/58,7
173,Impression FR10 Bar,LX 5,Dimmerraum 1,9/115,6
174,Impression FR10 Bar,LX 5,Dimmerraum 1,9/172,5
175,Impression FR10 Bar,LX 5,Dimmerraum 1,9/229,4
176,Impression FR10 Bar,LX 5,Dimmerraum 1,9/286,3
177,Impression FR10 Bar,LX 5,Dimmerraum 1,9/343,2
178,Impression FR10 Bar,LX 5,Dimmerraum 1,9/400,1
191,Impression X4 Bar,DS Trough,Dimmerraum 1,18/442,10
192,Impression X4 Bar,DS Trough,Dimmerraum 1,18/393,9
193,Impression X4 Bar,DS Trough,Dimmerraum 1,18/344,8
194,Impression X4 Bar,DS Trough,Dimmerraum 1,18/295,7
195,Impression X4 Bar,DS Trough,Dimmerraum 1,18/246,6
196,Impression X4 Bar,DS Trough,Dimmerraum 1,18/197,5
197,Impression X4 Bar,DS Trough,Dimmerraum 1,18/148,4
198,Impression X4 Bar,DS Trough,Dimmerraum 1,18/99,3
199,Impression X4 Bar,DS Trough,Dimmerraum 1,18/50,2
200,Impression X4 Bar,DS Trough,Dimmerraum 1,18/1,1
201,Viper Performance,Leiter 1 SR,Dimmerraum 1,13/1,4
202,Viper Performance,Leiter 2 SR,Dimmerraum 1,13/121,4
203,Viper Performance,Leiter 3 SR,Dimmerraum 1,14/95,4
204,Viper Performance,Leiter 4 SR,Dimmerraum 1,14/215,4
206,Viper Performance,Leiter 1 SL,Dimmerraum 2,11/1,4
207,Viper Performance,Leiter 2 SL,Dimmerraum 2,11/121,4
208,Viper Performance,Leiter 3 SL,Dimmerraum 2,12/171,4
209,Viper Performance,Leiter 4 SL,Dimmerraum 2,12/291,4
211,Viper Performance,Leiter 1 SR,Dimmerraum 1,13/41,2
212,Viper Performance,Leiter 2 SR,Dimmerraum 1,13/161,2
213,Viper Performance,Leiter 3 SR,Dimmerraum 1,14/135,2
214,Viper Performance,Leiter 4 SR,Dimmerraum 1,14/255,2
216,Viper Performance,Leiter 1 SL,Dimmerraum 2,11/41,2
217,Viper Performance,Leiter 2 SL,Dimmerraum 2,11/161,2
218,Viper Performance,Leiter 3 SL,Dimmerraum 2,12/211,2
219,Viper Performance,Leiter 4 SL,Dimmerraum 2,12/331,2
221,Viper Performance,Leiter 1 SR,Dimmerraum 1,13/81,1
222,Viper Performance,Leiter 2 SR,Dimmerraum 1,13/201,1
223,Viper Performance,Leiter 3 SR,Dimmerraum 1,14/175,1
224,Viper Performance,Leiter 4 SR,Dimmerraum 1,14/295,1
226,Viper Performance,Leiter 1 SL,Dimmerraum 2,11/81,1
227,Viper Performance,Leiter 2 SL,Dimmerraum 2,11/201,1
228,Viper Performance,Leiter 3 SL,Dimmerraum 2,12/251,1
229,Viper Performance,Leiter 4 SL,Dimmerraum 2,12/371,1
251,Impression X5,Leiter 1 SR,Dimmerraum 1,13/241,3
252,Impression X5,Leiter 2 SR,Dimmerraum 1,13/276,3
253,Impression X5,Leiter 3 SR,Dimmerraum 1,14/335,3
254,Impression X5,Leiter 4 SR,Dimmerraum 1,14/370,3
256,Impression X5,Leiter 1 SL,Dimmerraum 2,11/241,3
257,Impression X5,Leiter 2 SL,Dimmerraum 2,11/276,3
258,Impression X5,Leiter 3 SL,Dimmerraum 2,12/411,3
259,Impression X5,Leiter 4 SL,Dimmerraum 2,12/446,3
261,Impression X5,Boom 1 SR,Dimmerraum 1,16/145,2
262,Impression X5,Boom 2 SR,Dimmerraum 1,16/180,2
263,Impression X5,Boom 3 SR,Dimmerraum 1,16/215,2
264,Impression X5,Boom 4 SR,Dimmerraum 1,16/250,2
266,Impression X5,Boom 1 SL,Dimmerraum 2,17/145,2
267,Impression X5,Boom 2 SL,Dimmerraum 2,17/180,2
268,Impression X5,Boom 3 SL,Dimmerraum 2,17/215,2
269,Impression X5,Boom 4 SL,Dimmerraum 2,17/250,2
271,Diablo S,Boom 1 SR,Dimmerraum 1,16/1,1
272,Diablo S,Boom 2 SR,Dimmerraum 1,16/57,1
273,Diablo S,Boom 3 SR,Dimmerraum 1,16/395,1
274,Diablo S,Boom 4 SR,Dimmerraum 1,16/451,1
276,Diablo S,Boom 1 SL,Dimmerraum 2,17/1,1
277,Diablo S,Boom 2 SL,Dimmerraum 2,17/57,1
278,Diablo S,Boom 3 SL,Dimmerraum 2,17/285,1
279,Diablo S,Boom 4 SL,Dimmerraum 2,17/341,1
291,JDC 1,Portal,Dimmerraum 3,15/445,4
292,JDC 1,Portal,Dimmerraum 3,15/377,3
293,JDC 1,Portal,Dimmerraum 3,15/309,2

294,JDC 1,Portal,Dimmerraum 3,15/241,1

